# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
musikrichtung	musik richtung	# 7
nachhilfe	nach hilfe	# 7
nationalbewegung	national bewegung	# 7
naturschutz	natur schutz	# 7
nazizeit	nazi zeit	# 7
nebenrolle	neben rolle	# 7
normalzustand	normal zustand	# 7
opferfest	opfer fest	# 7
polizeibeamter	polizei beamter	# 7
polizeigewalt	polizei gewalt	# 7
polizeipräsident	polizei präsident	# 7
präsidentschaftswahlkampf	präsidentschaftswahl kampf	# 7
rassentrennung	rasse trennung	# 7
riesenreich	ries reich	# 7
rollenbild	rolle bild	# 7
samstagabend	samstag abend	# 7
schneeball	schnee ball	# 7
schnelldurchlauf	schnell durch lauf	# 7
schnittstelle	schnitt stelle	# 7
selbstverständnis	selbst verständnis	# 7
selbstwertgefühl	selbst wert gefühl	# 7
sitzplatz	sitz platz	# 7
sonnenschutz	sonne schutz	# 7
sozialsystem	sozial system	# 7
sozialversicherung	sozial versicherung	# 7
spitzenpersonal	spitze personal	# 7
sportunterricht	sport unterricht	# 7
stadtverwaltung	stadt verwaltung	# 7
stadtviertel	stadt viertel	# 7
stadtzentrum	stadt zentrum	# 7
startschuss	start schuss	# 7
staubteilchen	staub teilchen	# 7
steuerklasse	steuer klasse	# 7
steuersatz	steuer satz	# 7
stichwahl	stich wahl	# 7
streitthema	streit thema	# 7
stromversorgung	strom versorgung	# 7
studienteilnehmer	studie teilnehmer	# 7
superstar	super star	# 7
teilrepublik	teil republik	# 7
umweltbundesamt	umwelt bundesamt	# 7
unterstellung	unter stellung	# 7
unterwäsche	unter wäsche	# 7
verbform	verb form	# 7
videoaufnahme	video aufnahme	# 7
videoreihe	video reihe	# 7
viertelstunde	viertel stunde	# 7
wahlsieg	wahl sieg	# 7
wasserflasche	wasser flasche	# 7
wassermolekül	wasser molekül	# 7
weinstock	wein stock	# 7
weltordnung	welt ordnung	# 7
weltverschwörung	welt verschwörung	# 7
weltöffentlichkeit	welt öffentlichkeit	# 7
westküste	west küste	# 7
windkraft	wind kraft	# 7
winterschlaf	winter schlaf	# 7
wohngebiet	wohn gebiet	# 7
wohngemeinschaft	wohn gemeinschaft	# 7
zielscheibe	ziel scheibe	# 7
zungenrede	zunge rede	# 7
zweitstimme	zweit stimme	# 7
zweitstimmen	zweit stimmen	# 7
überbevölkerung	über bevölkerung	# 7
überdosis	über dosis	# 7
übergriff	über griff	# 7
überlebenschance	über leben chance	# 7
aktivkonto	aktiv konto	# 6
allerwichtigste	aller wichtigste	# 6
alpenstrasse	alpen strasse	# 6
angstzustand	angst zustand	# 6
arztpraxis	arzt praxis	# 6
asylrecht	asyl recht	# 6
atemübung	atem übung	# 6
atomexplosion	atom explosion	# 6
augenfarbe	auge farbe	# 6
augenzeuge	auge zeuge	# 6
autoversicherung	auto versicherung	# 6
ballkönigin	ball königin	# 6
bierflasche	bier flasche	# 6
biergarten	bier garten	# 6
bodenpreis	boden preis	# 6
bombenanschlag	bombe anschlag	# 6
brennstoffzelle	brennstoff zelle	# 6
bruttogehalt	brutto gehalt	# 6
buchwert	buch wert	# 6
bundesverteidigungsminister	bund verteidigung minister	# 6
buttermilch	butter milch	# 6
dachverband	dach verband	# 6
denkmuster	denk muster	# 6
dienstgabe	dienst gabe	# 6
direktkandidat	direkt kandidat	# 6
drehleiter	dreh leiter	# 6
drehmomentschlüssel	dreh moment schlüssel	# 6
drogenkonsum	droge konsum	# 6
drogenpolitik	droge politik	# 6
durchblick	durch blick	# 6
ehrentitel	ehre titel	# 6
elternhaus	eltern haus	# 6
energiekonzern	energie konzern	# 6
fahrdienstleiter	fahr dienst leiter	# 6
fahrkarte	fahr karte	# 6
fallzahl	fall zahl	# 6
familienbetrieb	familie betrieb	# 6
fastenzeit	fast zeit	# 6
fertigstellung	fertig stellung	# 6
feuerameise	feuer ameise	# 6
feuerwerk	feuer werk	# 6
finanzkrise	finanz krise	# 6
finanzmarkt	finanz markt	# 6
fluchtursache	flucht ursache	# 6
fluggesellschaft	flug gesellschaft	# 6
folgeerkrankung	folge erkrankung	# 6
folgejahr	folge jahr	# 6
frauenarzt	frau arzt	# 6
frauenfußball	frau fußball	# 6
frauenwahlrecht	frau wahlrecht	# 6
freizeitaktivität	frei zeit aktivität	# 6
frühtraining	früh training	# 6
gasthaus	gast haus	# 6
geheimagent	geheim agent	# 6
geheimbund	geheim bund	# 6
geheimwaffe	geheim waffe	# 6
gehirnaktivität	gehirn aktivität	# 6
gesamtbild	gesamt bild	# 6
gesetzentwurf	gesetz entwurf	# 6
glücksspielstaatsvertrag	glück spiel staat vertrag	# 6
grundaussage	grund aussage	# 6
grundgesetzänderung	grund gesetz änderung	# 6
grundnahrungsmittel	grund nahrungsmittel	# 6
handgepäck	hand gepäck	# 6
handynummer	handy nummer	# 6
handyvertrag	handy vertrag	# 6
hausbesuch	haus besuch	# 6
haushaltsgerät	haus halt gerät	# 6
hausärztin	haus ärztin	# 6
heerführer	heer führer	# 6
hirnzelle	hirn zelle	# 6
hitzewelle	hitze welle	# 6
hochdruck	hoch druck	# 6
hochhaus	hoch haus	# 6
idealfall	ideal fall	# 6
industrienation	industrie nation	# 6
industriepolitik	industrie politik	# 6
inselgruppe	insel gruppe	# 6
intensivbett	intensiv bett	# 6
internetverbindung	internet verbindung	# 6
jahrhundertwende	jahr hundert wende	# 6
jugendorganisation	jugend organisation	# 6
kampfflugzeug	kampf flugzeug	# 6
kampftruppe	kampf truppe	# 6
kartenspiel	karte spiel	# 6
kernkraft	kern kraft	# 6
kernmarke	kern marke	# 6
klimaaktivist	klima aktivist	# 6
klimabilanz	klima bilanz	# 6
konferenzraum	konferenz raum	# 6
kostenstellenrechnung	kosten stell rechnung	# 6
krisengebiet	krise gebiet	# 6
kurzarbeit	kurz arbeit	# 6
körpertemperatur	körper temperatur	# 6
körperzelle	körper zelle	# 6
landessprache	land sprache	# 6
lehrerverband	lehrer verband	# 6
lehrerzimmer	lehrer zimmer	# 6
lieblingstransportmittel	liebling transport mittel	# 6
lippenstift	lippe stift	# 6
mausversuch	maus versuch	# 6
medizinstudium	medizin studium	# 6
menschengruppe	mensch gruppe	# 6
menschsein	mensch sein	# 6
militärdiktatur	militär diktatur	# 6
milliardenhöhe	milliarde höhe	# 6
mistkerl	mist kerl	# 6
mondbasis	mond basis	# 6
mundgeruch	mund geruch	# 6
nachdruck	nach druck	# 6
nachrichtenseite	nach richten seite	# 6
nationalspieler	national spieler	# 6
nordhalbkugel	nord halb kugel	# 6
notenbank	note bank	# 6
notfallplan	notfall plan	# 6
oberflächenspannung	oberfläche spannung	# 6
onlineplattform	online plattform	# 6
parteigründung	partei gründung	# 6
partnersprache	partner sprache	# 6
politikstil	politik stil	# 6
polizeiaufgabengesetz	polizei aufgabe gesetz	# 6
presseerklärung	presse erklärung	# 6
profilbild	profil bild	# 6
propagandaminister	propaganda minister	# 6
raumstation	raum station	# 6
rollenspiel	rolle spiel	# 6
rückenmark	rücken mark	# 6
salzburger	salz burger	# 6
satzzeichen	satz zeichen	# 6
schieflage	schief lage	# 6
schlüsselbein	schlüssel bein	# 6
schockwelle	schock welle	# 6
schuldgefühl	schuld gefühl	# 6
sinnbild	sinn bild	# 6
sonnenwind	sonne wind	# 6
sozialdemokratie	sozial demokratie	# 6
sozialhilfe	sozial hilfe	# 6
sportsache	sport sache	# 6
sportwagen	sport wagen	# 6
stadtplan	stadt plan	# 6
standardmodell	standard modell	# 6
stoppschild	stopp schild	# 6
strassenschlacht	strasse schlacht	# 6
stromkabel	strom kabel	# 6
studentenleben	student leben	# 6
stundenplan	stunde plan	# 6
supercomputer	super computer	# 6
superwahljahr	super wahl jahr	# 6
terrormiliz	terror miliz	# 6
tierarzt	tier arzt	# 6
tomatenmark	tomate mark	# 6
traumzeit	traum zeit	# 6
umweltproblem	umwelt problem	# 6
umweltschaden	umwelt schaden	# 6
unterernährung	unter ernährung	# 6
vokabellernen	vokabel lernen	# 6
wahlbezirk	wahl bezirk	# 6
waldbrand	wald brand	# 6
warmmiete	warm miete	# 6
wasserfall	wasser fall	# 6
wechselpräposition	wechsel präposition	# 6
weltfrieden	welt frieden	# 6
weltsicherheitsrat	welt sicherheitsrat	# 6
weltsprache	welt sprache	# 6
weltwirtschaftskrise	welt wirtschaft krise	# 6
wetterbericht	wetter bericht	# 6
wildschwein	wild schwein	# 6
windenergie	wind energie	# 6
windschutzscheibe	wind schutz scheibe	# 6
zahlwort	zahl wort	# 6
zahnschmerz	zahn schmerz	# 6
zeitrechnung	zeit rechnung	# 6
zeitzeuge	zeit zeuge	# 6
zeugenaussage	zeug aussage	# 6
überfluss	über fluss	# 6
alleinherrschaft	allein herrschaft	# 5
alleinherrscher	allein herrscher	# 5
arztbesuch	arzt besuch	# 5
asylverfahren	asyl verfahren	# 5
atempause	atem pause	# 5
atomangriff	atom angriff	# 5
atomwaffenprogramm	atom waffe programm	# 5
aussenministerium	aussen ministerium	# 5
aussenseite	aussen seite	# 5
auswendiglernen	auswendig lernen	# 5
autofahrt	auto fahrt	# 5
autohaus	auto haus	# 5
babynahrung	baby nahrung	# 5
bahnfahren	bahn fahren	# 5
bahnsteig	bahn steig	# 5
banküberfall	bank überfall	# 5
bauernverband	bauer verband	# 5
bekanntwerden	bekannt werden	# 5
beweislage	beweis lage	# 5
bildungseinrichtung	bildung sein richtung	# 5
blaufilter	blau filter	# 5
bombenkrieg	bombe krieg	# 5
brandsatz	brand satz	# 5
briefmark	brief mark	# 5
buchhandlung	buch handlung	# 5
buchtipp	buch tipp	# 5
bundesarbeitsgemeinschaft	bund arbeit gemeinschaft	# 5
bundesminister	bund minister	# 5
bundesnetzagentur	bund netz agentur	# 5
bundespolitik	bund politik	# 5
bundestrainer	bund trainer	# 5
bundesverteidigungsministerium	bund verteidigung ministerium	# 5
bundeswirtschaftsminister	bund wirtschaft minister	# 5
bürgerbewegung	bürger bewegung	# 5
bürgermeisterwahl	bürger meist wahl	# 5
bürogebäude	büro gebäude	# 5
cannabispolitik	cannabis politik	# 5
chemieindustrie	chemie industrie	# 5
codewort	code wort	# 5
datensicherheit	date sicherheit	# 5
dauerauftrag	dauer auftrag	# 5
denkaufgabe	denk aufgabe	# 5
dienstagabend	dienstag abend	# 5
dorfbewohner	dorf bewohner	# 5
dreharbeit	dreh arbeit	# 5
durchmischung	durch mischung	# 5
durchschnittseinkommen	durch schnitt sein kommen	# 5
einmalhandschuh	einmal hand schuh	# 5
einwohnerzahl	einwohner zahl	# 5
elterngeld	eltern geld	# 5
energieniveau	energie niveau	# 5
energiepolitik	energie politik	# 5
enkelsohn	enkel sohn	# 5
fachhochschule	fach hochschule	# 5
fachwissen	fach wissen	# 5
fahrverbot	fahr verbot	# 5
faktenlage	fakt lage	# 5
familienfest	familie fest	# 5
familiengeschichte	familie geschichte	# 5
fernlicht	fern licht	# 5
festplatte	fest platte	# 5
fettzelle	fett zelle	# 5
feuersturm	feuer sturm	# 5
feuerwehrauto	feuerwehr auto	# 5
fischsuppe	fisch suppe	# 5
flugplatz	flug platz	# 5
flächennutzung	fläche nutzung	# 5
fragestunde	frag stunde	# 5
fragezeichen	frag zeichen	# 5
frankenreich	franken reich	# 5
fremdwort	fremd wort	# 5
fruchtzucker	frucht zucker	# 5
fussballmannschaft	fuss ball mannschaft	# 5
gegenkandidat	gegen kandidat	# 5
gegenreaktion	gegen reaktion	# 5
gegenschlag	gegen schlag	# 5
geldgeschäft	geld geschäft	# 5
gendertrainer	gender trainer	# 5
generalstaatsanwalt	general staatsanwalt	# 5
gesellschafterversammlung	gesellschaft versammlung	# 5
gesetzesänderung	gesetz änderung	# 5
gewalterfahrung	gewalt erfahrung	# 5
gleichbehandlung	gleich behandlung	# 5
goldstandard	gold standard	# 5
gottesstaat	gott staat	# 5
grabstein	grab stein	# 5
grashügel	gras hügel	# 5
grundbesitz	grund besitz	# 5
grundwasserspiegel	grund wasser spiegel	# 5
grundwehrdienst	grund wehrdienst	# 5
haarfarbe	haar farbe	# 5
halbjahr	halb jahr	# 5
handgriff	hand griff	# 5
handlungsspielraum	handlung spiel raum	# 5
handschuh	hand schuh	# 5
haushaltszucker	haus halt zucker	# 5
hausparty	haus party	# 5
herrscherhaus	herrscher haus	# 5
herzerkrankung	herz erkrankung	# 5
hinterhaus	hinter haus	# 5
hirnforscher	hirn forscher	# 5
hochtour	hoch tour	# 5
hochwasser	hoch wasser	# 5
holzschuh	holz schuh	# 5
holzstück	holz stück	# 5
hundescheisse	hund scheisse	# 5
höhenmeter	höhe meter	# 5
impfstoffentwicklung	impfstoff entwicklung	# 5
industrieemissionsrichtlinie	industrie emission richtlinie	# 5
ingenieurtradition	ingenieur tradition	# 5
internetzugang	internet zugang	# 5
jahresumsatz	jahr umsatz	# 5
jägermeister	jäger meister	# 5
kaufpreis	kauf preis	# 5
kennzahl	kenn zahl	# 5
kernpunkt	kern punkt	# 5
kernthema	kern thema	# 5
klassenraum	klasse raum	# 5
klimaschutzziel	klima schutz ziel	# 5
klimaveränderung	klima veränderung	# 5
konfliktpotenzial	konflikt potenzial	# 5
kopfgeld	kopf geld	# 5
kulturkreis	kultur kreis	# 5
kulturlandschaft	kultur landschaft	# 5
kunstprojekt	kunst projekt	# 5
käsekuchen	käse kuchen	# 5
körperfunktion	körper funktion	# 5
körperhaltung	körper haltung	# 5
küchenmaschine	küche maschine	# 5
landesherr	land herr	# 5
landesparlament	land parlament	# 5
liebesbrief	lieb brief	# 5
lieblingsorte	liebling sorte	# 5
literaturwissenschaft	literatur wissenschaft	# 5
luftdruck	luft druck	# 5
luxusartikel	luxus artikel	# 5
massband	mass band	# 5
massengrab	mass grab	# 5
menschenbild	mensch bild	# 5
milchalternative	milch alternative	# 5
militärdienst	militär dienst	# 5
militärschlag	militär schlag	# 5
ministerpräsidentin	minister präsidentin	# 5
missachtung	miss achtung	# 5
mitteldeutsch	mittel deutsch	# 5
mittelmass	mittel mass	# 5
mutterkonzern	mutter konzern	# 5
nachgang	nach gang	# 5
nachrichtensendung	nach richten sendung	# 5
nachwelt	nach welt	# 5
nationalstolz	national stolz	# 5
naturschutzgebiet	natur schutz gebiet	# 5
naziregime	nazi regime	# 5
nervenzusammenbruch	nerv zusammenbruch	# 5
netzbetreiber	netz betreiber	# 5
onlinekurs	online kurs	# 5
originaltext	original text	# 5
parteiengesetz	partei gesetz	# 5
personenschutz	person schutz	# 5
philosophiegeschichte	philosophie geschichte	# 5
pluralform	plural form	# 5
preisstabilität	preis stabilität	# 5
profifußball	profi fußball	# 5
protestkultur	protest kultur	# 5
regentropfen	regen tropfen	# 5
regenzeit	regen zeit	# 5
regimewechsel	regime wechsel	# 5
rentenalter	rente alter	# 5
rentenniveau	rente niveau	# 5
rückenwind	rücken wind	# 5
satzanfang	satz anfang	# 5
satzmuster	satz muster	# 5
schadenfreude	schade freude	# 5
scherzfrage	scherz frage	# 5
schlagzeug	schlag zeug	# 5
schlüsseldienst	schlüssel dienst	# 5
schmalspurbahn	schmal spur bahn	# 5
schmerzforschung	schmerz forschung	# 5
schutzkleidung	schutz kleidung	# 5
schutzschild	schutz schild	# 5
schweinegrippe	schwein grippe	# 5
selbstdarstellung	selbst darstellung	# 5
selbsthilfegruppe	selbst hilfe gruppe	# 5
selbsttest	selbst test	# 5
serienmörder	serie mörder	# 5
sicherheitsüberprüfung	sicherheit über prüfung	# 5
sichtfeld	sicht feld	# 5
signalwirkung	signal wirkung	# 5
sonneneinstrahlung	sonne nein strahlung	# 5
sonntagabend	sonntag abend	# 5
spanischvokabel	spanisch vokabel	# 5
spielsache	spiel sache	# 5
sportplatz	sport platz	# 5
spurensuche	spur suche	# 5
stadtfest	stadt fest	# 5
stadtrand	stadt rand	# 5
stadtwerk	stadt werk	# 5
steinkohle	stein kohle	# 5
stellenwert	stell wert	# 5
steuerjahr	steuer jahr	# 5
strassenverkehrsordnung	strasse verkehr ordnung	# 5
stromanbieter	strom anbieter	# 5
studentenausweis	student ausweis	# 5
stundenkilometer	stunde kilometer	# 5
tellerrand	teller rand	# 5
temperaturanstieg	temperatur anstieg	# 5
therapierichtung	therapie richtung	# 5
tierschutzpartei	tier schutz partei	# 5
traumwetter	traum wetter	# 5
umfrageergebnis	umfrage ergebnis	# 5
unfallversicherung	unfall versicherung	# 5
unterfangen	unter fangen	# 5
untergruppe	unter gruppe	# 5
unterhändler	unter händler	# 5
unterpunkt	unter punkt	# 5
vaterfigur	vater figur	# 5
vaterrolle	vater rolle	# 5
verlustrechnung	verlust rechnung	# 5
versicherungskaufmann	versicherung kauf mann	# 5
vokabelhilfe	vokabel hilfe	# 5
vorgängerregierung	vorgänger regierung	# 5
wahlkampfveranstaltung	wahl kampf veranstaltung	# 5
wareneingang	ware nein gang	# 5
wasseroberfläche	wasser oberfläche	# 5
wasserstoffatom	wasser stoff atom	# 5
wasserstofffahrzeug	wasser stoff fahrzeug	# 5
weltmeer	welt meer	# 5
weltpolizist	welt polizist	# 5
weltreligion	welt religion	# 5
weltstadt	welt stadt	# 5
wiederwahl	wieder wahl	# 5
windkraftanlage	wind kraft anlage	# 5
wohnungsübergabe	wohnung über gabe	# 5
wortwitz	wort witz	# 5
zeitsprung	zeit sprung	# 5
zinssatz	zins satz	# 5
zollpolitik	zoll politik	# 5
zusammenstellung	zusammen stellung	# 5
übergangsfrist	über gang frist	# 5
übergangspräsident	über gang präsident	# 5
übernachtung	über achtung	# 5
überschuss	über schuss	# 5
überzahl	über zahl	# 5
abermilliarde	aber milliarde	# 4
agenturchefin	agentur chefin	# 4
aktenzeichen	akte zeichen	# 4
aktivseite	aktiv seite	# 4
alleinregierung	allein regierung	# 4
allgemeinwissen	allgemein wissen	# 4
alpenregion	alpen region	# 4
alternativmedizin	alternativ medizin	# 4
anklagepunkt	anklage punkt	# 4
atomrakete	atom rakete	# 4
atomtest	atom test	# 4
atomzeitalter	atom zeitalter	# 4
aufgabenbereich	aufgabe bereich	# 4
aussenwirkung	aussen wirkung	# 4
austauschstudent	austausch student	# 4
autofirma	auto firma	# 4
bandbreit	band breit	# 4
banknote	bank note	# 4
batterieauto	batterie auto	# 4
bekanntenkreis	bekannt kreis	# 4
bibelübersetzung	bibel übersetzung	# 4
biertrinken	bier trinken	# 4
bildmaterial	bild material	# 4
bleiberecht	bleib recht	# 4
blutgruppe	blut gruppe	# 4
bluttest	blut test	# 4
bombenwetter	bombe wetter	# 4
bordcomputer	bord computer	# 4
brotzeit	brot zeit	# 4
bruderstaat	bruder staat	# 4
brustkrebs	brust krebs	# 4
brückenkopf	brücke kopf	# 4
bundesgebiet	bund gebiet	# 4
bundesministerin	bund ministerin	# 4
bundespartei	bund partei	# 4
butterbrot	butter brot	# 4
bühnenbild	bühne bild	# 4
bündnispartner	bündnis partner	# 4
christbaum	christ baum	# 4
dauerzustand	dauer zustand	# 4
denkfabrik	denk fabrik	# 4
deutschschule	deutsch schule	# 4
dienstzimmer	dienst zimmer	# 4
dieselfahrzeug	diesel fahrzeug	# 4
diskussionsteil	diskussion steil	# 4
drehmoment	dreh moment	# 4
drogenhändler	droge händler	# 4
drogenkrieg	droge krieg	# 4
drogenverbot	droge verbot	# 4
durchreise	durch reise	# 4
durchschnittsalter	durch schnitt alter	# 4
durchschnittstemperatur	durch schnitt temperatur	# 4
ehrenmann	ehre mann	# 4
energiesystem	energie system	# 4
enkeltochter	enkel tochter	# 4
erkenntnisgewinn	erkenntnis gewinn	# 4
erstschlag	erst schlag	# 4
eu-wahlprogramm	eu-wahl programm	# 4
existenzangst	existenz angst	# 4
fachrichtung	fach richtung	# 4
fachzeitschrift	fach zeitschrift	# 4
fahrlehrer	fahr lehrer	# 4
fahrprüfung	fahr prüfung	# 4
falschgeld	falsch geld	# 4
familienname	familie name	# 4
familienvater	familie vater	# 4
fangfrage	fang frage	# 4
feldlager	feld lager	# 4
felswand	fels wand	# 4
fernverkehr	fern verkehr	# 4
fettgehalt	fett gehalt	# 4
feuerwehrfahrzeug	feuerwehr fahrzeug	# 4
filmmusik	film musik	# 4
fleischproduktion	fleisch produktion	# 4
flugticket	flug ticket	# 4
flugzeit	flug zeit	# 4
frischwasser	frisch wasser	# 4
fruchtteil	frucht teil	# 4
frühgeburt	früh geburt	# 4
frühschicht	früh schicht	# 4
furzkönig	furz könig	# 4
fussballstadion	fuss ball stadion	# 4
fussballverein	fuss ball verein	# 4
fussspur	fuss spur	# 4
führerscheinprüfung	führerschein prüfung	# 4
galaxiengruppe	galaxie gruppe	# 4
gastfreundschaft	gast freundschaft	# 4
gedankenwelt	gedanke welt	# 4
gedächtniszelle	gedächtnis zelle	# 4
gefahrenlage	gefahr lage	# 4
gefängnisstrafe	gefängnis strafe	# 4
gegenmassnahme	gegen massnahme	# 4
gegenstimme	gegen stimme	# 4
geheimdienstagent	geheim dienst agent	# 4
geheimhaltung	geheim haltung	# 4
geldbörse	geld börse	# 4
geldpolitik	geld politik	# 4
geldproblem	geld problem	# 4
gemeindevertreter	gemeinde vertreter	# 4
gemüsehändler	gemüse händler	# 4
generationenvertrag	generation vertrag	# 4
gesamtergebnis	gesamt ergebnis	# 4
gesamtumsatz	gesamt umsatz	# 4
gesamtwert	gesamt wert	# 4
gesamtzahl	gesamt zahl	# 4
geschenkpapier	geschenk papier	# 4
gesetzesentwurf	gesetz entwurf	# 4
gewaltanwendung	gewalt anwendung	# 4
gewaltverbrechen	gewalt verbrechen	# 4
glückwünsch	glück wünsch	# 4
gradangabe	grad angabe	# 4
gradmesser	grad messer	# 4
grammatikregel	grammatik regel	# 4
grossbetrieb	gross betrieb	# 4
grossveranstaltung	gross veranstaltung	# 4
grundeinstellung	grund einstellung	# 4
grundfläche	grund fläche	# 4
grundregel	grund regel	# 4
grundvoraussetzung	grund voraussetzung	# 4
grössenbereich	grösse bereich	# 4
grünfeldindisch	grün feld indisch	# 4
gurkenglas	gurke glas	# 4
halbkreis	halb kreis	# 4
handbewegung	hand bewegung	# 4
handynetz	handy netz	# 4
handyrechnung	handy rechnung	# 4
hassrede	hass rede	# 4
hausordnung	haus ordnung	# 4
heilpraktikerprüfung	heilpraktiker prüfung	# 4
herzblut	herz blut	# 4
herzkrankheit	herz krankheit	# 4
herzversagen	herz versagen	# 4
hilfestellung	hilfe stellung	# 4
hintergedanke	hinter gedanke	# 4
hundekacke	hund kacke	# 4
höhenflug	höhe flug	# 4
idealbild	ideal bild	# 4
industriearbeiter	industrie arbeiter	# 4
innenministerin	innen ministerin	# 4
innenraum	innen raum	# 4
innenseite	innen seite	# 4
innenwelt	innen welt	# 4
interessenkonflikt	interesse konflikt	# 4
internetseit	internet seit	# 4
jahreszahl	jahr zahl	# 4
jugendstrafe	jugend strafe	# 4
jugendzentrum	jugend zentrum	# 4
kampfhandlung	kampf handlung	# 4
kampfpilot	kampf pilot	# 4
kampfsport	kampf sport	# 4
kartenhaus	karte haus	# 4
kartoffelgericht	kartoffel gericht	# 4
kassenzettel	kasse zettel	# 4
kerngeschäft	kern geschäft	# 4
kernkompetenz	kern kompetenz	# 4
kernproblem	kern problem	# 4
kernspaltung	kern spaltung	# 4
kinderarzt	kind arzt	# 4
kindesmissbrauch	kind missbrauch	# 4
kirchensteuer	kirche steuer	# 4
klassenlehrer	klasse lehrer	# 4
kleinpartei	klein partei	# 4
klimaforschung	klima forschung	# 4
klimapaket	klima paket	# 4
knopfdruck	knopf druck	# 4
konfliktlinie	konflikt linie	# 4
konjunktivform	konjunktiv form	# 4
kontaktaufnahme	kontakt aufnahme	# 4
kopfkino	kopf kino	# 4
kraftanstrengung	kraft anstrengung	# 4
krebsverschwörung	krebs verschwörung	# 4
kugelform	kugel form	# 4
kundendienst	kunde dienst	# 4
kurzwort	kurz wort	# 4
küchenchef	küche chef	# 4
küchentisch	küche tisch	# 4
kühlmittel	kühl mittel	# 4
küstenlinie	küste linie	# 4
küstennähe	küste nähe	# 4
küstenregion	küste region	# 4
landespolitik	land politik	# 4
lebensmittelpreis	leben mittel preis	# 4
lebensmittelsicherheit	leben mittel sicherheit	# 4
lichtquelle	licht quelle	# 4
literaturhistoriker	literatur historiker	# 4
literaturwissenschaftler	literatur wissenschaftler	# 4
lohnniveau	lohn niveau	# 4
luftqualität	luft qualität	# 4
luftverkehr	luft verkehr	# 4
lungenarzt	lunge arzt	# 4
längenkreis	länge kreis	# 4
mangelware	mangel ware	# 4
marktwert	markt wert	# 4
massenmörder	mass mörder	# 4
massenprotest	mass protest	# 4
mauerwerk	mauer werk	# 4
maximalleistung	maximal leistung	# 4
meerestier	meer tier	# 4
mehrfachzucker	mehr fach zucker	# 4
meistertitel	meist titel	# 4
mengenangabe	menge angabe	# 4
menschenhandel	mensch handel	# 4
menschenmenge	mensch menge	# 4
menschenversuch	mensch versuch	# 4
messerkriminalität	messer kriminalität	# 4
milchindustrie	milch industrie	# 4
milchkaffee	milch kaffee	# 4
milchkonsum	milch konsum	# 4
missbrauchsnetzwerk	miss brauch netzwerk	# 4
mittelfinger	mittel finger	# 4
mobiltelefon	mobil telefon	# 4
modellrechnung	modell rechnung	# 4
morddrohung	mord drohung	# 4
musikgeschäft	musik geschäft	# 4
musikschule	musik schule	# 4
muskelaufbau	muskel aufbau	# 4
muskelkraft	muskel kraft	# 4
nachbarstaat	nachbar staat	# 4
nachrichtenmagazin	nach richten magazin	# 4
nachsicht	nach sicht	# 4
nachtleben	nacht leben	# 4
nachverfolgung	nach verfolgung	# 4
nachwirkung	nach wirkung	# 4
nationalflagge	national flagge	# 4
nationalpark	national park	# 4
naturprodukt	natur produkt	# 4
naturwissenschaftler	natur wissenschaftler	# 4
nebenhandlung	neben handlung	# 4
nebenprodukt	neben produkt	# 4
nebenraum	neben raum	# 4
nervengift	nerv gift	# 4
nettogehalt	netto gehalt	# 4
nordlicht	nord licht	# 4
obstsorte	obst sorte	# 4
oktoberrevolution	oktober revolution	# 4
organspendeausweis	organ spende ausweis	# 4
papiergeld	papier geld	# 4
parteienlandschaft	partei landschaft	# 4
parteifreund	partei freund	# 4
parteiführung	partei führung	# 4
parteigeschichte	partei geschichte	# 4
parteilinie	partei linie	# 4
pausenraum	pause raum	# 4
personalabteilung	personal abteilung	# 4
personalentscheidung	personal entscheidung	# 4
preisanstieg	preis anstieg	# 4
preisniveau	preis niveau	# 4
privathaushalt	privat haushalt	# 4
privatmann	privat mann	# 4
profisportler	profi sportler	# 4
projektleiter	projekt leiter	# 4
propagandafilm	propaganda film	# 4
quellenangabe	quelle angabe	# 4
quellenlage	quelle lage	# 4
radiosender	radio sender	# 4
raketenangriff	rakete angriff	# 4
raketenstart	rakete start	# 4
ratenzahlung	raten zahlung	# 4
rechercheergebnis	recherche ergebnis	# 4
reformprogramm	reform programm	# 4
regelwerk	regel werk	# 4
