text,stored_top,stored_expected,stored,n,a_top,a_expected,a,a_tokens,b_top,b_expected,b,b_tokens,model
Die ist war auch war aber stärker noch ist so geblieben.,C1,2.48,"{""C1"": 0.3, ""A1"": 0.07, ""B2"": 0.19, ""B1"": 0.27, ""A2"": 0.17}",174,B1,2.45,"{""C1"": 0.24, ""B1"": 0.37, ""B2"": 0.2, ""A2"": 0.15, ""A1"": 0.04}",493,A2,1.87,"{""B1"": 0.2, ""C1"": 0.19, ""B2"": 0.13, ""A2"": 0.32, ""A1"": 0.16}",157.5,jev-1.13.0
Du brauchst auch vielleicht Deutsch in deiner Umgebung oder in deinem Alltag.,A2,0.99,"{""A1"": 0.18, ""B1"": 0.17, ""C1"": 0.0, ""B2"": 0.0, ""A2"": 0.65}",175,A2,1.05,"{""A1"": 0.1, ""B1"": 0.15, ""A2"": 0.75, ""B2"": 0.0, ""C1"": 0.0}",494,A2,1.15,"{""B1"": 0.26, ""C1"": 0.0, ""A1"": 0.13, ""A2"": 0.6, ""B2"": 0.01}",157.5,jev-1.13.0
Glauben Sie zum Vergnügen schlagen wir uns unsere Nächte um die Ohren.,C1,3.35,"{""B2"": 0.34, ""B1"": 0.14, ""A2"": 0.01, ""A1"": 0.0, ""C1"": 0.51}",176,B2,3.06,"{""A2"": 0.01, ""B1"": 0.24, ""A1"": 0.0, ""B2"": 0.43, ""C1"": 0.32}",500,B2,2.58,"{""B1"": 0.29, ""C1"": 0.17, ""B2"": 0.39, ""A2"": 0.15, ""A1"": 0.0}",157.5,jev-1.13.0
"Mir reicht schon wenn überhaupt erstmal dahin kommen, dass wir Schülern wirklich ganz stark vermitteln kritisches, bewusstes Denken.",B2,2.66,"{""C1"": 0.05, ""B1"": 0.39, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.5599999999999999}",177,B2,2.89,"{""A2"": 0.0, ""B1"": 0.21, ""A1"": 0.0, ""B2"": 0.69, ""C1"": 0.1}",506,B2,2.68,"{""B1"": 0.39, ""C1"": 0.09, ""A1"": 0.0, ""A2"": 0.01, ""B2"": 0.51}",157.5,jev-1.13.0
Allerdings gibt es noch eine Besonderheit.,A2,1.1,"{""A2"": 0.45, ""B2"": 0.01, ""A1"": 0.23, ""B1"": 0.31, ""C1"": 0.0}",178,A2,1.25,"{""B2"": 0.02, ""B1"": 0.34, ""A2"": 0.51, ""A1"": 0.13, ""C1"": 0.0}",490,A2,1.0,"{""B1"": 0.19, ""C1"": 0.0, ""A1"": 0.21, ""A2"": 0.59, ""B2"": 0.01}",157.5,jev-1.13.0
Sehr vernünftig aber leider zu spät.,A1,0.53,"{""A1"": 0.57, ""C1"": 0.0, ""A2"": 0.34, ""B2"": 0.01, ""B1"": 0.08}",179,A2,0.86,"{""C1"": 0.0, ""A1"": 0.34, ""B2"": 0.01, ""A2"": 0.47, ""B1"": 0.18}",490,A2,1.03,"{""B1"": 0.18, ""C1"": 0.01, ""B2"": 0.01, ""A2"": 0.6, ""A1"": 0.2}",157.5,jev-1.13.0
"Dass die Planeten an allem schuld sind, das ist aus heutiger Sicht natürlich Unsinn.",B2,2.55,"{""A1"": 0.0, ""B2"": 0.53, ""C1"": 0.01, ""B1"": 0.46, ""A2"": 0.0}",180,B2,2.58,"{""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.44, ""B2"": 0.54, ""C1"": 0.02}",500,B1,2.11,"{""B1"": 0.58, ""C1"": 0.01, ""A1"": 0.0, ""A2"": 0.16, ""B2"": 0.25}",157.5,jev-1.13.0
Und jetzt wird es richtig seltsam.,A1,0.42,"{""C1"": 0.0, ""A1"": 0.68, ""B2"": 0.0, ""B1"": 0.1, ""A2"": 0.22}",181,A1,0.66,"{""B1"": 0.13, ""C1"": 0.0, ""A1"": 0.49, ""A2"": 0.37, ""B2"": 0.01}",488,A1,0.04,"{""C1"": 0.0, ""B1"": 0.0, ""A2"": 0.04, ""A1"": 0.96, ""B2"": 0.0}",155.2,jev-1.13.0
Permanent werden neue Inhalte veröffentlicht.,B2,2.4,"{""A1"": 0.01, ""B1"": 0.21, ""B2"": 0.6, ""A2"": 0.18, ""C1"": 0.0}",182,B2,2.12,"{""A2"": 0.28, ""B1"": 0.23, ""A1"": 0.03, ""B2"": 0.46, ""C1"": 0.0}",485,A2,1.15,"{""C1"": 0.0, ""B1"": 0.09, ""A2"": 0.76, ""A1"": 0.08, ""B2"": 0.07}",155.2,jev-1.13.0
Die Schichten der Realität ergeben nur miteinander Sinn.,C1,3.36,"{""B1"": 0.2, ""B2"": 0.24, ""C1"": 0.56, ""A2"": 0.0, ""A1"": 0.0}",183,C1,3.08,"{""B2"": 0.18, ""B1"": 0.37, ""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.45}",489,B1,2.08,"{""B2"": 0.11, ""A2"": 0.07, ""B1"": 0.8, ""A1"": 0.0, ""C1"": 0.02}",155.2,jev-1.13.0
"Das bin nicht nur ich, das sind auch ganz andere.",A1,0.65,"{""B1"": 0.16, ""A1"": 0.53, ""B2"": 0.01, ""A2"": 0.3, ""C1"": 0.0}",184,A1,0.8,"{""A2"": 0.37, ""B1"": 0.2, ""A1"": 0.42, ""C1"": 0.0, ""B2"": 0.01}",491,A1,0.37,"{""C1"": 0.0, ""B1"": 0.01, ""A2"": 0.35, ""A1"": 0.64, ""B2"": 0.0}",155.2,jev-1.13.0
"Erstaunlich weit gedacht, auch im Vergleich zu dem, was erstmals danach kommt, viel viel weiter gedacht als bei Platon.",C1,3.5,"{""A2"": 0.0, ""B2"": 0.4, ""C1"": 0.56, ""B1"": 0.03, ""A1"": 0.0}",185,C1,3.58,"{""A2"": 0.0, ""B1"": 0.02, ""A1"": 0.0, ""B2"": 0.38, ""C1"": 0.6}",506,B2,3.17,"{""B2"": 0.53, ""B1"": 0.15, ""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.32}",155.2,jev-1.13.0
"Ja, Physik, Mathe und Chemie.",A1,0.01,"{""C1"": 0.0, ""A1"": 0.99, ""B1"": 0.0, ""A2"": 0.01, ""B2"": 0.0}",186,A1,0.01,"{""A2"": 0.01, ""B1"": 0.0, ""A1"": 0.99, ""C1"": 0.0, ""B2"": 0.0}",491,A1,0.03,"{""B2"": 0.0, ""B1"": 0.0, ""A2"": 0.03, ""A1"": 0.97, ""C1"": 0.0}",155.2,jev-1.13.0
Dein Gott gebetet dir krie sollst du im Staub.,C1,2.83,"{""C1"": 0.37, ""A2"": 0.12, ""B2"": 0.23, ""A1"": 0.01, ""B1"": 0.27}",187,C1,2.72,"{""B1"": 0.24, ""B2"": 0.2, ""C1"": 0.38, ""A1"": 0.06, ""A2"": 0.12}",494,C1,2.35,"{""B2"": 0.1, ""A2"": 0.19, ""B1"": 0.15, ""A1"": 0.17, ""C1"": 0.39}",155.2,jev-1.13.0
"Das bedeutet, dass man jemanden oder etwas aufmerksam hört.",B1,1.84,"{""B2"": 0.0, ""B1"": 0.88, ""A1"": 0.04, ""C1"": 0.0, ""A2"": 0.08}",188,B1,1.86,"{""C1"": 0.0, ""B1"": 0.87, ""A1"": 0.01, ""B2"": 0.0, ""A2"": 0.12}",492,A2,1.23,"{""C1"": 0.0, ""B1"": 0.31, ""A2"": 0.58, ""A1"": 0.1, ""B2"": 0.01}",155.2,jev-1.13.0
"Also, der ganze Abschnitt war seit etwa 10 Uhr für den Verkehr gesperrt.",B2,2.37,"{""C1"": 0.0, ""B2"": 0.54, ""B1"": 0.29, ""A2"": 0.17, ""A1"": 0.0}",189,B2,2.38,"{""A2"": 0.12, ""B1"": 0.38, ""C1"": 0.0, ""B2"": 0.5, ""A1"": 0.0}",498,A2,1.38,"{""C1"": 0.0, ""B1"": 0.27, ""A2"": 0.66, ""A1"": 0.01, ""B2"": 0.06}",155.2,jev-1.13.0
"Die ganze Fülle von ihm, die meine Seele erfüllt.",C1,3.25,"{""B1"": 0.27, ""C1"": 0.52, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.21}",190,C1,3.22,"{""C1"": 0.51, ""B2"": 0.2, ""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.29}",492,B1,2.12,"{""B2"": 0.21, ""B1"": 0.5, ""A2"": 0.21, ""A1"": 0.01, ""C1"": 0.07}",155.2,jev-1.13.0
Wir reden nicht alle gleich in Franken.,A1,0.63,"{""B1"": 0.1, ""B2"": 0.01, ""A1"": 0.49, ""A2"": 0.4, ""C1"": 0.0}",191,A1,0.68,"{""C1"": 0.0, ""B2"": 0.01, ""A2"": 0.41, ""B1"": 0.12, ""A1"": 0.46}",487,A1,0.81,"{""B2"": 0.02, ""B1"": 0.15, ""A2"": 0.41, ""A1"": 0.41, ""C1"": 0.01}",155.2,jev-1.13.0
Max ist der mit dem Hut.,A1,0.31,"{""B1"": 0.06, ""C1"": 0.0, ""A1"": 0.75, ""B2"": 0.0, ""A2"": 0.19}",192,A1,0.13,"{""C1"": 0.0, ""A1"": 0.9, ""B2"": 0.0, ""B1"": 0.03, ""A2"": 0.07}",486,A1,0.02,"{""B2"": 0.0, ""B1"": 0.0, ""A2"": 0.02, ""A1"": 0.98, ""C1"": 0.0}",155.2,jev-1.13.0
Ein Dichter wie er reicht einer Frau schon als Feind.,C1,3.3,"{""A2"": 0.01, ""C1"": 0.49, ""B1"": 0.17, ""A1"": 0.0, ""B2"": 0.33}",193,C1,3.48,"{""A2"": 0.01, ""B1"": 0.15, ""A1"": 0.0, ""C1"": 0.65, ""B2"": 0.19}",492,B1,2.51,"{""C1"": 0.12, ""B1"": 0.47, ""A2"": 0.07, ""A1"": 0.0, ""B2"": 0.34}",155.2,jev-1.13.0
Die Eltern sind Grace und Mark.,A1,0.02,"{""C1"": 0.0, ""A1"": 0.98, ""B1"": 0.0, ""B2"": 0.0, ""A2"": 0.02}",194,A1,0.01,"{""C1"": 0.0, ""B2"": 0.0, ""A1"": 0.99, ""B1"": 0.0, ""A2"": 0.01}",486,A1,0.02,"{""C1"": 0.0, ""B1"": 0.0, ""A2"": 0.02, ""A1"": 0.98, ""B2"": 0.0}",155.2,jev-1.13.0
Im Zweifel aber bedient man sich seiner Person.,C1,3.35,"{""B1"": 0.16, ""A1"": 0.0, ""B2"": 0.33, ""A2"": 0.0, ""C1"": 0.51}",195,B2,3.2,"{""B2"": 0.48, ""A2"": 0.0, ""B1"": 0.16, ""C1"": 0.36, ""A1"": 0.0}",489,B1,2.33,"{""B2"": 0.3, ""B1"": 0.61, ""A2"": 0.05, ""A1"": 0.0, ""C1"": 0.04}",155.2,jev-1.13.0
Objektiv an sich in der Welt.,C1,2.91,"{""B2"": 0.06, ""A2"": 0.11, ""C1"": 0.59, ""B1"": 0.13, ""A1"": 0.11}",196,C1,3.09,"{""B1"": 0.23, ""C1"": 0.55, ""B2"": 0.12, ""A2"": 0.07, ""A1"": 0.02}",488,B1,2.62,"{""C1"": 0.31, ""B1"": 0.33, ""A2"": 0.15, ""A1"": 0.02, ""B2"": 0.19}",155.2,jev-1.13.0
Das ist die wahre Tochter der Familie Ruan!,A1,0.47,"{""A1"": 0.62, ""B2"": 0.01, ""C1"": 0.0, ""B1"": 0.07, ""A2"": 0.3}",197,A1,0.35,"{""A1"": 0.73, ""C1"": 0.0, ""B1"": 0.06, ""B2"": 0.01, ""A2"": 0.2}",490,A1,0.5,"{""C1"": 0.01, ""B1"": 0.05, ""A2"": 0.33, ""A1"": 0.6, ""B2"": 0.01}",155.2,jev-1.13.0
Da gibt es dann andere Werte.,A1,0.6,"{""B2"": 0.0, ""B1"": 0.13, ""C1"": 0.0, ""A1"": 0.53, ""A2"": 0.34}",198,A1,0.66,"{""A2"": 0.36, ""B1"": 0.15, ""B2"": 0.0, ""C1"": 0.0, ""A1"": 0.49}",486,A2,0.72,"{""C1"": 0.0, ""B1"": 0.11, ""A2"": 0.47, ""A1"": 0.41, ""B2"": 0.01}",155.2,jev-1.13.0
"Sondern es wird einfach mal probiert und dann geguckt, was passiert.",B1,1.85,"{""C1"": 0.0, ""A2"": 0.12, ""B2"": 0.03, ""B1"": 0.82, ""A1"": 0.03}",199,B1,1.86,"{""A2"": 0.14, ""B1"": 0.83, ""B2"": 0.02, ""C1"": 0.0, ""A1"": 0.01}",497,A2,1.0,"{""C1"": 0.0, ""B1"": 0.23, ""A2"": 0.51, ""A1"": 0.25, ""B2"": 0.01}",155.2,jev-1.13.0
"Nicht ohne Grund sind zum Beispiel Künstler, die ihre Herkunft im Osten hervorheben, dort besonders erfolgreich.",B2,2.75,"{""C1"": 0.03, ""A1"": 0.0, ""B1"": 0.28, ""B2"": 0.69, ""A2"": 0.0}",200,B2,2.73,"{""B1"": 0.28, ""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.04, ""B2"": 0.67}",501,B2,2.75,"{""B2"": 0.73, ""B1"": 0.26, ""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.01}",155.2,jev-1.13.0
