n,stratum,pattern,gloss,surface,text,video,start
436,panel,jdm. (Dat) gehören,gehört means heard.,von Menschen gehört,Ich habe schon so oft von Menschen gehört.,8vRm8QiAW3M,166.20599999999996
437,panel,jdm. (Dat) gehören,gehört means heard.,gehört zur DNA,Streifenfreier Glanz in der Fahrrad-Edelgarage gehört zur DNA der Herberge.,slyev-JfiyI,3158.04
438,panel,jdm. (Dat) gehören,gehört means heard.,das gehört,Hast du das schon mal gehört?,QMiNcmXJP-k,594.6122222222223
439,panel,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,kennen das,Aber die allermeisten kennen das auch gar nicht anders.,u1yUxpC0xgs,182.68
440,panel,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,ihr kennt es,"Also ihr kennt es vielleicht, ab und an eröffnet irgendwo ein neues Geschäft und dann bekommst du eine Werbung zu Hause eingeschmissen.",cO_N4K1YAhg,34.547
441,panel,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,ihr kennt,"Deshalb hat der Imperativ drei Formen: „Sieh mal!“: Die du- Form für eine Person, die ihr gut kennt.",o-L4Ha843I0,140.429
442,panel,das Geld,das Geld means money.,Geld,"Statt Geld sollen vor allem Sachleistungen gewährt werden, die über eine Bezahlkarte laufen, wie es das jetzt auch schon in einigen Bundesländern gibt.",MzsBDMD9vO8,696.6
443,panel,das Geld,das Geld means money.,das Geld,"Eine Lüge der Eliten, die uns das Geld aus den Taschen ziehen wollen.",B8Opg4p_LPg,188.93473684210528
444,panel,das Geld,das Geld means money.,Leih Geld,"""Leih mir Geld"" und den Wagen.",7LWOWwN4PPQ,1210.9773478260868
445,panel,jdm. (Dat) helfen,jemandem helfen means to help someone.,einem Freund geholfen,"Angeblich hatte er einem Freund geholfen zu fliehen, nachdem dieser einen anderen Mann erschossen hatte.",VmwqVt1BzCY,166.62301204819278
446,panel,jdm. (Dat) helfen,jemandem helfen means to help someone.,helfen,"Hier entwickelt man, lässt Dinge runterfallen und Kinder helfen spontan.",XkbjEvkuKvM,4636.24
447,panel,jdm. (Dat) helfen,jemandem helfen means to help someone.,mir geholfen,"Jemma, sie hat mir geholfen, es klar zu sehen.",mn2R4tVd1is,4697.39768115942
448,panel,"lange, lang",lange means how much time or duration.,lange,Meiner Meinung nach dauert die Bearbeitung bei manchen Dingen zu lange.,KI-ccDNxwM8,656.85
449,panel,"lange, lang",lange means how much time or duration.,lange,Wir haben auch noch andere Aufgaben!” “Sich mit etwas aufhalten” bedeutet: sich zu lange mit etwas beschäftigen.,P_VwSFpkujk,206.40521739130435
450,panel,"lange, lang",lange means how much time or duration.,lange,"Ein Thema, über das man sehr lange diskutieren könnte.",mjak9u_sdRY,540.12
