n,stratum,pattern,gloss,surface,text,video,start,verdict,what,note,judge,rule
368,panel,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,was für die Gesundheit bedeutet,"Stellt euch mal vor, was das für die Gesundheit der Menschen bedeutet.",JmD6DlJOdXo,308.91,other,"bedeuten (signify, imply)",,claude-opus-5,
369,panel,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,bedeutet,"Das bedeutet, dass Oswald, als er nach Russland ging, kein echter Überläufer war.",KLDG8XvcQWw,3875.3538461538456,other,bedeuten (signify),,claude-opus-5,
370,panel,"gern, gerne",gern means willingly or with pleasure.,gerne,"Wer im Schichtdienst arbeitet, gerade ein kleines Baby hat oder gerne mal eine Nacht durchfeiert, der weiß, Schlafmangel ist grausam.",gUl49d6cPC4,47.88,frame,,,claude-opus-5,
371,panel,"gern, gerne",gern means willingly or with pleasure.,gerne,Ich würde gerne noch ein paar Tests mit Ihnen machen.,h-2PTbyiDrE,324.4569402985075,frame,,,claude-opus-5,
372,panel,"gern, gerne",gern means willingly or with pleasure.,gerne,Was machen Sie gerne in Ihrer Freizeit?,BbdfTYdUtz0,718.8109999999999,frame,,,claude-opus-5,
373,panel,"nichts, nix",,nichts,Von dem Treffen habe ich ihr aber nichts erzählt.,U_ZBViSvQ64,357.8480341880343,frame,,,claude-opus-5,
374,panel,"nichts, nix",,nichts,"Das wird nichts, ne? Aber den Minusruf, den korrigieren wir doch jetzt einfach mal ein bisschen.",k1-aP3hZEHs,692.1092537313431,construction,das wird nichts,,claude-opus-5,
375,panel,"nichts, nix",,nichts,Ich bin nicht kam mir fehlt nichts.,NnPdMjXpEJ8,1156.347586206897,frame,,,claude-opus-5,
376,panel,jdm. (Dat) passieren,jemandem passieren means to happen to someone.,bei anderen Viren passieren,Das kann auch bei anderen Viren passieren.,Mt50U4_ueR0,557.68,frame,,"no dative, same sense",claude-opus-5,
377,panel,jdm. (Dat) passieren,jemandem passieren means to happen to someone.,passiert,"Das Geständnis ist erneuter Hohn und eine Demütigung für die Angehörigen des Opfers, die nicht fassen können, was passiert ist.",4d1tLrzeBFI,278.72,frame,,,claude-opus-5,
378,panel,jdm. (Dat) passieren,jemandem passieren means to happen to someone.,mit Rosas passiert,"Egal, was mit Rosas passiert, es ist Zeit für dich, dein Traum zu leben.",mn2R4tVd1is,2109.0862500000007,frame,,,claude-opus-5,
379,panel,der Tag,der Tag means the period of daylight or a 24-hour day.,einem Tag,"Für sie war und ist es normal, an einem Tag in einen christlichen Gottesdienst zu gehen, an einem anderen in einen Hindutempel.",IUqGpj7dLfg,127.56,frame,,,claude-opus-5,
380,panel,der Tag,der Tag means the period of daylight or a 24-hour day.,der besten Tage,Fünf der besten Tage meines Lebens.,87LipQT8T-Q,6252.676666666667,frame,,,claude-opus-5,
381,panel,der Tag,der Tag means the period of daylight or a 24-hour day.,den ganzen Tag,Oder vielleicht war ich einsam den ganzen Tag.,z59vqeAEW9E,4371.4466250000005,frame,,,claude-opus-5,
382,panel,die Frage,die Frage means question.,Die Frage,"Die Frage, die ich oft bekomme, ist: ""Kannst du nicht auch was zu denen machen?"" Nun, ein Video zu 44 Parteien, das ist nicht einfach.",Abjh2bOlXoc,21.0,frame,,,claude-opus-5,
383,panel,die Frage,die Frage means question.,Ihrer anderen Frage,Zu Ihrer anderen Frage. 79a.,ca4CuIj_U9w,3106.5,frame,,,claude-opus-5,
384,panel,die Frage,die Frage means question.,die Frage,"Und dann ist halt die Frage, wie hoch ist die Dosis an gefährlichen Substanzen?",JTLau8e-CUo,1168.8672000000001,frame,,,claude-opus-5,
385,panel,der Mann,der Mann means the man (specific individual).,ein Mann,"Aber der beliebteste Grünen-Politiker zumindest wenn man nach Umfragen geht, ist ein Mann.",mjak9u_sdRY,311.08,frame,,,claude-opus-5,
386,panel,der Mann,der Mann means the man (specific individual).,diese Männer,"Jetzt ist es aber nicht so, dass diese Männer alle Streitigkeiten friedlich beilegen.",LGIMpZnfP-E,308.4,frame,,,claude-opus-5,
387,panel,der Mann,der Mann means the man (specific individual).,Der Mann,Der Mann verdient mehr Geld in einer Woche als du in einem Jahr.,7LWOWwN4PPQ,232.998,frame,,,claude-opus-5,
388,panel,jdm. (Dat) / etw. (Akk) glauben,jemandem glauben means to have faith in someone's ability or judgment.,glaube,"Mit Abby ist alles okay, glaube ich.",J6U4AjhCLrI,3549.0857142857144,other,glauben + clause (think),,claude-opus-5,
389,panel,jdm. (Dat) / etw. (Akk) glauben,jemandem glauben means to have faith in someone's ability or judgment.,Glaubt,"Glaubt Ihr wirklich, es besteht die geringste Chance, dass das nicht gesehen wird?",L_-r441bJjQ,857.24,other,glauben + clause (think),,claude-opus-5,
390,panel,jdm. (Dat) / etw. (Akk) glauben,jemandem glauben means to have faith in someone's ability or judgment.,glaube,"Ich glaube, die fliegen nach Dubai.",WuZYixhusIA,332.041,other,glauben + clause (think),,claude-opus-5,
391,panel,die Frau,die Frau means wife.,Frau Schuhmacher,Ich grüßer Sie Herr und Frau Schuhmacher.,sNfEfLtfrb8,333.214,frame,,title,claude-opus-5,
392,panel,die Frau,die Frau means wife.,Frau,Wo haben Herr und Frau Schulze sich kennengelernt? a) im Internet a) im Internet. c) auf einer Party.,CjLt7Ap40l4,721.085,frame,,title,claude-opus-5,
393,panel,die Frau,die Frau means wife.,Die Frau,"Die Frau, bei der ich jetzt einen Termin habe, hat ihren Abschluss in einem Abendstudium nachgeholt.",OdHj-8ngOT0,1152.84,frame,,,claude-opus-5,
394,panel,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,gelassen,"Die AfD selbst sieht die Pläne, zumindest öffentlich, gelassen.",OPFwv5sy51E,644.6,other,"gelassen (adjective, calm)",,claude-opus-5,
395,panel,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,die Tür lassen,Du kannst mich duzen und die Tür offen lassen.,GNKFW4S1pKg,388.64,frame,,leave something open,claude-opus-5,
396,panel,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,lassen ihre Waren,Denn unzählige Firmen lassen ihre Waren von den günstigen Arbeitskräften in China produzieren.,X2vtshF6xF0,359.92,other,etw. tun lassen (causative),,claude-opus-5,
397,panel,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,schreibe euch zwei in die Videobeschreibung,"Ich schreibe euch zwei, die ich ganz gut finde, unten in die Videobeschreibung.",skR937O5sBY,786.13,frame,,,claude-opus-5,
398,panel,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,An einen IS-Kanal schreibt,"An einen IS-Kanal schreibt er: (Unheilvolle Musik) In der Folgezeit entsteht der Plan, einen Anschlag in Deutschland zu verüben.",iYtJLOBEXa0,768.12,frame,,,claude-opus-5,
399,panel,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,die Antwort schreiben,Bitte jetzt die Antwort schreiben.,ZvkAPF1XXFQ,262.96,frame,,,claude-opus-5,
400,panel,nach etw. aussehen,nach etwas aussehen means to look like something / to seem something.,sieht aus aus,"Es sieht ja wirklich so aus, als hätte früher hier jemand gewohnt.",TqQwdRQRT-4,3563.0,other,aussehen + so/als (seem),,claude-opus-5,
401,panel,nach etw. aussehen,nach etwas aussehen means to look like something / to seem something.,aussehen,Legen wir los! 2060 wird Südkoreas Bevölkerungspyramide so aussehen: Mit einem Bevölkerungsrückgang von 30 % verschwinden in 35 Jahren 16 Millionen Südkoreaner.,l9UGB_V6A8g,143.06673684210526,other,aussehen + so (look),,claude-opus-5,
402,panel,nach etw. aussehen,nach etwas aussehen means to look like something / to seem something.,im Netz aussehen,Wie könnte eurer Meinung nach ein effektiver Schutz von Kindern vor Missbrauch im Netz aussehen?,S_lw4b_9Gyc,700.16,other,"aussehen (look, intransitive)",,claude-opus-5,
403,panel,die Leute,die Leute means people.,Leute,"Dafür braucht ihr keine guten Noten, Leute.",Ej98tfrZzmI,179.416,frame,,,claude-opus-5,
404,panel,die Leute,die Leute means people.,Die Leute,"Die Leute sagen, die Party ist krass?",hqe0dqtCmA0,384.099,frame,,,claude-opus-5,
405,panel,die Leute,die Leute means people.,paar Leute,"Skeptisch wurden ein paar Leute erst, als klar war, dass die Botschaft nicht nur extrem groß, sondern vielleicht auch extrem tief sein wird.",m8e-ZaZSWqY,258.76,frame,,,claude-opus-5,
406,panel,die Partei,die Partei means political party.,die Partei,"Und weil die Partei an dem Willen der EU, sich in diese Richtung zu entwickeln, zweifelt, zieht sie noch radikalere Änderungen in Betracht.",Y_zS8jOYid4,285.44,frame,,,claude-opus-5,
407,panel,die Partei,die Partei means political party.,die Partei,"Generell ist die Partei des Fortschritts offen für neue Formen der Beteiligung, auch auf europäischer Ebene.",Y_zS8jOYid4,437.52,frame,,,claude-opus-5,
408,panel,die Partei,die Partei means political party.,eine Partei,"Aus einem Verein, der sich 2017 aus Mitgliedern von CDU und CSU gegründet hatte, wurde offiziell eine Partei.",ipjl0efaZ7Y,90.76,frame,,,claude-opus-5,
409,panel,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,euch zeigen,"Ich möchte euch zeigen, wie wir diesen Begriff verwenden und mit welchen Verben er häufig kombiniert wird.",ciByzc7eFrw,328.56,frame,,,claude-opus-5,
410,panel,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,zeigt,"Das zeigt aber, und jetzt kommt meine persönliche Meinung, es gibt immer noch einen zweiten Weg.",f-YHZOjNHYM,1311.72,frame,,recipient elided,claude-opus-5,
411,panel,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,sich sich nach zeigen,Das wahre Potenzial der digitalen Unsterblichkeit wird sich erst nach und nach zeigen.,hHvIrQKy90w,674.433,other,sich zeigen (become apparent),,claude-opus-5,
412,panel,das Leben,das Leben means life.,seinem Leben,Die gehören zu den prägendsten Zeiten in seinem Leben.,3clVZ0b2x8M,198.72,frame,,,claude-opus-5,
413,panel,das Leben,das Leben means life.,Leben,"Das ist eine unglaubliche Materialschlacht, eine Schlacht, bei der jeden Tag 100, vielleicht auch 200 Soldatinnen und Soldaten ums Leben kommen.",ogbtRzgfOWA,143.12,construction,ums Leben kommen,,claude-opus-5,
414,panel,das Leben,das Leben means life.,meinem akademischen Leben,Ich war zufrieden mit meinem akademischen Leben und mit Sydneys angenehmer mittelmäßiger Art von Zärtlichkeit.,SHYj2f3WZjI,2768.611,frame,,,claude-opus-5,
415,panel,das Kind,das Kind means child (a young human being).,Kindern,"Mehr Geld soll's für Familien mit Kindern geben und alle, die sich Wohnung oder Haus zulegen wollen.",Ao1Rof8kkAs,324.48,frame,,,claude-opus-5,
416,panel,das Kind,das Kind means child (a young human being).,Kindern,"Dort ist er für den Bereich Kindeswohlgefährdung, Hilfe zur Erziehung, Beteiligung beim Familiengericht und in der Eingliederungshilfe von Kindern mit psychischen Erkrankungen tätig.",-PRxlCN1Owk,389.4,frame,,,claude-opus-5,
417,panel,das Kind,das Kind means child (a young human being).,keine Kinder,"Im Schnitt wird etwa die Hälfte der Frauen hier keine Kinder haben, und die andere Hälfte nur eines.",l9UGB_V6A8g,42.59030985915494,frame,,,claude-opus-5,
418,panel,etw./jdn. (Akk) nehmen,etwas nehmen means to take (someone or something) along or into possession.,das alles zur Kenntnis genommen,Wir haben das alles zur Kenntnis genommen.,zjLkTb2jQnw,4800.506304347826,construction,etw. zur Kenntnis nehmen,,claude-opus-5,
419,panel,etw./jdn. (Akk) nehmen,etwas nehmen means to take (someone or something) along or into possession.,nehmen Platz,"Nun, nehmen Sie Platz, meine Herren.",98S3JDk_7Ww,2064.562,construction,Platz nehmen,,claude-opus-5,
420,panel,etw./jdn. (Akk) nehmen,etwas nehmen means to take (someone or something) along or into possession.,nehmen 11 Sportler als Geiseln,Schwer bewaffnet nehmen sie dort 11 Sportler als Geiseln.,dB5jKQYveec,114.0,frame,,"jdn. als Geisel nehmen, still take",claude-opus-5,
421,panel,jdm. (Dat) etw. (Akk) bringen,jemanden zum Reden bringen means to make someone talk or get someone to speak.,bringt sein drittes Automodell auf den Markt,Tesla bringt sein drittes Automodell auf den Markt und setzt Maßstäbe.,D0y4dwQmHmc,684.8,construction,etw. auf den Markt bringen,,claude-opus-5,
422,panel,jdm. (Dat) etw. (Akk) bringen,jemanden zum Reden bringen means to make someone talk or get someone to speak.,die Lufthansa-Maschine Landshut in ihre Gewalt gebracht,Die hatten die Lufthansa-Maschine „Landshut“ in ihre Gewalt gebracht.,dB5jKQYveec,444.0,construction,etw. in seine Gewalt bringen,,claude-opus-5,
423,panel,jdm. (Dat) etw. (Akk) bringen,jemanden zum Reden bringen means to make someone talk or get someone to speak.,bringen sie zum Pinguin,Wir bringen sie um und bringen sie dann zum Pinguin.,2VZAqHGOjIc,92.083,frame,,"destination, not a dative; umbringen also in the sentence",claude-opus-5,
424,panel,das Problem,das Problem means an objection or grievance.,Meine Probleme,Aber viele Menschen nehmen das so nicht wahr und sagen: Meine Probleme werden nicht angegangen.,ThgDIFU0hSA,492.04,frame,,,claude-opus-5,
425,panel,das Problem,das Problem means an objection or grievance.,viele Probleme,"Das Leben hat schon so viele Probleme gelöst, warum also nicht auch unsere Anfälligkeit für den Tod?",ukj00RbvZaQ,461.65,frame,,,claude-opus-5,
426,panel,das Problem,das Problem means an objection or grievance.,Probleme,"Probleme müssen klar benannt werden, Schwierigkeiten müssen angegangen werden, und man sollte bei den Fakten bleiben.",HrpXgqFcN0k,1291.8,frame,,,claude-opus-5,
427,panel,der Fall,auf jeden Fall means definitely/absolutely.,der Fall,"Und wie das bis 2011 auch der Fall gewesen ist, würde so ein Jahr natürlich auch bezahlt werden.",4h3w-IPhKaY,659.72,frame,,"der Fall sein, Fall = case",claude-opus-5,
428,panel,der Fall,auf jeden Fall means definitely/absolutely.,keinen Fall,Wir möchten dich auf keinen Fall enttäsuchen.,ZBfSszghlUc,468.096511627907,construction,auf keinen Fall,,claude-opus-5,
429,panel,der Fall,auf jeden Fall means definitely/absolutely.,dem Fall,Sie haben sicher von dem Fall des verschwundenen Mädchens gehört.,BRHw2oSykjw,4954.208,frame,,,claude-opus-5,
430,panel,der Herr,der Herr means Mr.,Herr Springer,"Herr Springer, ich grüße Sie.",oZlJeK-AacE,1729.2,frame,,title,claude-opus-5,
431,panel,der Herr,der Herr means Mr.,Herr Professor,"Herr Professor Hackmann, sind Sie der neue Präsident der Universität in Hamburg?",Vb9df_r0pZo,2841.389,frame,,title,claude-opus-5,
432,panel,der Herr,der Herr means Mr.,Herr Kunze,"Ja, Herr Kunze, wir sind bereit.",NbL39FX-mGs,904.959,frame,,title,claude-opus-5,
433,panel,das Thema,das Thema means topic.,einem anderen Thema,Ein Video zu einem völlig anderen Thema.,U6GW6gzIywo,664.64,frame,,,claude-opus-5,
434,panel,das Thema,das Thema means topic.,ein ganz Thema,"Das ist ja an sich auch ein ganz, ganz wichtiges Thema.",Dmhm8dTn2nY,1074.96,frame,,,claude-opus-5,
435,panel,das Thema,das Thema means topic.,das Thema Artikel,"So, und jetzt geht's los. ￼ Manu hat geschrieben, dass er sich für das Thema ""bestimmte Artikel vor Namen"" interessiert.",skR937O5sBY,20.93671232876713,frame,,,claude-opus-5,
436,panel,jdm. (Dat) gehören,gehört means heard.,von Menschen gehört,Ich habe schon so oft von Menschen gehört.,8vRm8QiAW3M,166.20599999999996,other,hören (lemma error: gehört read as gehören),,claude-opus-5,
437,panel,jdm. (Dat) gehören,gehört means heard.,gehört zur DNA,Streifenfreier Glanz in der Fahrrad-Edelgarage gehört zur DNA der Herberge.,slyev-JfiyI,3158.04,other,zu etw. gehören,,claude-opus-5,
438,panel,jdm. (Dat) gehören,gehört means heard.,das gehört,Hast du das schon mal gehört?,QMiNcmXJP-k,594.6122222222223,other,hören (lemma error: gehört read as gehören),,claude-opus-5,
439,panel,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,kennen das,Aber die allermeisten kennen das auch gar nicht anders.,u1yUxpC0xgs,182.68,frame,,,claude-opus-5,
440,panel,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,ihr kennt es,"Also ihr kennt es vielleicht, ab und an eröffnet irgendwo ein neues Geschäft und dann bekommst du eine Werbung zu Hause eingeschmissen.",cO_N4K1YAhg,34.547,frame,,,claude-opus-5,
441,panel,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,ihr kennt,"Deshalb hat der Imperativ drei Formen: „Sieh mal!“: Die du- Form für eine Person, die ihr gut kennt.",o-L4Ha843I0,140.429,frame,,,claude-opus-5,
442,panel,das Geld,das Geld means money.,Geld,"Statt Geld sollen vor allem Sachleistungen gewährt werden, die über eine Bezahlkarte laufen, wie es das jetzt auch schon in einigen Bundesländern gibt.",MzsBDMD9vO8,696.6,frame,,,claude-opus-5,
443,panel,das Geld,das Geld means money.,das Geld,"Eine Lüge der Eliten, die uns das Geld aus den Taschen ziehen wollen.",B8Opg4p_LPg,188.93473684210528,frame,,,claude-opus-5,
444,panel,das Geld,das Geld means money.,Leih Geld,"""Leih mir Geld"" und den Wagen.",7LWOWwN4PPQ,1210.9773478260868,frame,,,claude-opus-5,
445,panel,jdm. (Dat) helfen,jemandem helfen means to help someone.,einem Freund geholfen,"Angeblich hatte er einem Freund geholfen zu fliehen, nachdem dieser einen anderen Mann erschossen hatte.",VmwqVt1BzCY,166.62301204819278,frame,,,claude-opus-5,
446,panel,jdm. (Dat) helfen,jemandem helfen means to help someone.,helfen,"Hier entwickelt man, lässt Dinge runterfallen und Kinder helfen spontan.",XkbjEvkuKvM,4636.24,frame,,object elided,claude-opus-5,
447,panel,jdm. (Dat) helfen,jemandem helfen means to help someone.,mir geholfen,"Jemma, sie hat mir geholfen, es klar zu sehen.",mn2R4tVd1is,4697.39768115942,frame,,,claude-opus-5,
448,panel,"lange, lang",lange means how much time or duration.,lange,Meiner Meinung nach dauert die Bearbeitung bei manchen Dingen zu lange.,KI-ccDNxwM8,656.85,frame,,,claude-opus-5,
449,panel,"lange, lang",lange means how much time or duration.,lange,Wir haben auch noch andere Aufgaben!” “Sich mit etwas aufhalten” bedeutet: sich zu lange mit etwas beschäftigen.,P_VwSFpkujk,206.40521739130435,frame,,,claude-opus-5,
450,panel,"lange, lang",lange means how much time or duration.,lange,"Ein Thema, über das man sehr lange diskutieren könnte.",mjak9u_sdRY,540.12,frame,,,claude-opus-5,
